id,ch1,ch2,ch3,ch4,ch5
317,-244.62890625,-641.6015625,-360.3515625,-302.24609375,554.6875
318,-264.16015625,-639.16015625,-338.37890625,-340.8203125,157.2265625
319,-233.88671875,-626.46484375,-317.3828125,-320.80078125,-407.2265625
320,-161.62109375,-622.0703125,-303.22265625,-214.35546875,198.73046875
321,-245.1171875,-637.6953125,-249.0234375,-287.59765625,300.78125
322,-261.71875,-612.79296875,-253.41796875,-291.9921875,202.1484375
323,-284.1796875,-600.09765625,-250.48828125,-394.04296875,-207.51953125
324,-252.9296875,-617.67578125,-277.83203125,-390.625,-88.8671875
325,-358.3984375,-600.09765625,-310.546875,-468.26171875,729.4921875
326,-388.18359375,-602.5390625,-315.91796875,-487.79296875,-387.6953125
327,-411.1328125,-598.6328125,-232.91015625,-521.484375,645.01953125
328,-276.3671875,-542.96875,-190.91796875,-440.91796875,92.7734375
329,-159.66796875,-529.78515625,-264.16015625,-192.87109375,928.22265625
330,-68.84765625,-416.9921875,-270.99609375,-136.71875,333.984375
331,-267.578125,-493.1640625,-200.1953125,-161.1328125,51.26953125
332,-120.1171875,-515.13671875,-189.453125,-115.234375,-185.05859375
333,-163.0859375,-563.4765625,-129.39453125,-176.7578125,-110.3515625
334,-242.1875,-595.21484375,-137.20703125,-265.625,589.35546875
335,-160.64453125,-543.9453125,-148.92578125,-176.26953125,-204.1015625
336,-190.91796875,-570.3125,-253.41796875,-261.23046875,41.015625
337,-181.15234375,-570.80078125,-235.3515625,-186.5234375,451.66015625
338,-132.32421875,-568.84765625,-232.91015625,-157.2265625,49.8046875
339,-244.140625,-543.45703125,-201.171875,-331.54296875,108.3984375
340,-343.26171875,-543.9453125,-252.9296875,-424.31640625,101.5625
341,-329.1015625,-540.0390625,-218.75,-307.12890625,549.31640625
342,-197.75390625,-550.78125,-139.6484375,-238.76953125,367.67578125
343,-315.91796875,-460.44921875,-47.8515625,-319.82421875,5.859375
344,-360.3515625,-536.62109375,-95.703125,-358.88671875,83.49609375
