id,lsl_ts,unix_ts,x,y,z
183213,14383.286242048407,1671629612.432,0.5614017696,-0.0038452176,0.6821293952
183213,14383.286242048407,1671629612.432,0.5614017696,-0.0038452176,0.6821293952
183214,14383.292739774204,1671629612.432,-0.3233644896,0.0731812048,0.9587409216
183214,14383.292739774204,1671629612.432,-0.3233644896,0.0731812048,0.9587409216
183215,14383.2992375,1671629612.432,-0.3238527712,0.06915288160000001,0.9613654352000001
183215,14383.2992375,1671629612.432,-0.3238527712,0.06915288160000001,0.9613654352000001
183216,14383.299699233334,1671629612.434,0.5614017696,-0.0038452176,0.6821293952
183216,14383.299699233334,1671629612.434,0.5614017696,-0.0038452176,0.6821293952
183217,14383.300160966666,1671629612.434,-0.3233644896,0.0731812048,0.9587409216
183217,14383.300160966666,1671629612.434,-0.3233644896,0.0731812048,0.9587409216
183218,14383.3006227,1671629612.434,-0.3238527712,0.06915288160000001,0.9613654352000001
183218,14383.3006227,1671629612.434,-0.3238527712,0.06915288160000001,0.9613654352000001
183219,14383.331720066668,1671629612.527,-0.324096912,0.0758057184,0.9672248144000001
183219,14383.331720066668,1671629612.527,-0.324096912,0.0758057184,0.9672248144000001
183220,14383.362817433333,1671629612.527,-0.322876208,0.078125056,0.9660041104
183220,14383.362817433333,1671629612.527,-0.322876208,0.078125056,0.9660041104
183221,14383.3939148,1671629612.527,-0.322571032,0.0759277888,0.9608771536
183221,14383.3939148,1671629612.527,-0.322571032,0.0759277888,0.9608771536
183222,14383.3940578,1671629612.528,-0.324096912,0.0758057184,0.9672248144000001
183222,14383.3940578,1671629612.528,-0.324096912,0.0758057184,0.9672248144000001
183223,14383.394200800001,1671629612.528,-0.322876208,0.078125056,0.9660041104
183223,14383.394200800001,1671629612.528,-0.322876208,0.078125056,0.9660041104
183224,14383.3943438,1671629612.528,-0.322571032,0.0759277888,0.9608771536
183224,14383.3943438,1671629612.528,-0.322571032,0.0759277888,0.9608771536
183225,14383.397053566667,1671629612.536,-0.322571032,0.0757446832,0.9615485408000001
183225,14383.397053566667,1671629612.536,-0.322571032,0.0757446832,0.9615485408000001
183226,14383.399763333335,1671629612.536,-0.3255617568,0.0725708528,0.9592292032
183226,14383.399763333335,1671629612.536,-0.3255617568,0.0725708528,0.9592292032
183227,14383.4024731,1671629612.536,-0.3214723984,0.0709229024,0.9605109424
183227,14383.4024731,1671629612.536,-0.3214723984,0.0709229024,0.9605109424
183228,14383.402636566667,1671629612.536,-0.322571032,0.0757446832,0.9615485408000001
183228,14383.402636566667,1671629612.536,-0.322571032,0.0757446832,0.9615485408000001
183229,14383.402800033335,1671629612.536,-0.3255617568,0.0725708528,0.9592292032
183229,14383.402800033335,1671629612.536,-0.3255617568,0.0725708528,0.9592292032
