id,lsl_ts,unix_ts,x,y,z
162090,13644.119981348407,1671628873.267,0,0,0
162090,13644.119981348407,1671628873.267,0,0,0
162091,13644.126479074204,1671628873.267,-13.211505599999999,-1.3607776,0.6130976
162091,13644.126479074204,1671628873.267,-13.211505599999999,-1.3607776,0.6130976
162092,13644.1329768,1671628873.267,-12.5909312,-4.1720543999999995,-1.9140608
162092,13644.1329768,1671628873.267,-12.5909312,-4.1720543999999995,-1.9140608
162093,13644.178908,1671628873.405,-9.944144,-4.3215904,-2.1757488
162093,13644.178908,1671628873.405,-9.944144,-4.3215904,-2.1757488
162094,13644.2248392,1671628873.405,-8.456260799999999,-2.504728,-1.49536
162094,13644.2248392,1671628873.405,-8.456260799999999,-2.504728,-1.49536
162095,13644.2707704,1671628873.405,-7.2225888,-1.6000352,-0.9869376
162095,13644.2707704,1671628873.405,-7.2225888,-1.6000352,-0.9869376
162096,13644.277478933334,1671628873.425,-5.570215999999999,-1.4878832,-1.2037647999999999
162096,13644.277478933334,1671628873.425,-5.570215999999999,-1.4878832,-1.2037647999999999
162097,13644.284187466666,1671628873.425,-3.6337248,-1.2261952,-1.2561023999999998
162097,13644.284187466666,1671628873.425,-3.6337248,-1.2261952,-1.2561023999999998
162098,13644.290896,1671628873.425,-1.8991072,-1.1439504,-1.5925584
162098,13644.290896,1671628873.425,-1.8991072,-1.1439504,-1.5925584
162099,13644.295104433333,1671628873.437,-0.485992,0.6504816,-2.2729472
162099,13644.295104433333,1671628873.437,-0.485992,0.6504816,-2.2729472
162100,13644.299312866668,1671628873.437,0.5383296,3.252408,-2.280424
162100,13644.299312866668,1671628873.437,0.5383296,3.252408,-2.280424
162101,13644.3035213,1671628873.437,1.4280688,4.5458944,-1.5626512
162101,13644.3035213,1671628873.437,1.4280688,4.5458944,-1.5626512
162102,13644.320408566668,1671628873.488,1.5776047999999998,4.8673968,-1.0691823999999999
162102,13644.320408566668,1671628873.488,1.5776047999999998,4.8673968,-1.0691823999999999
162103,13644.337295833333,1671628873.488,1.7047104,5.2188064,0.1196288
162103,13644.337295833333,1671628873.488,1.7047104,5.2188064,0.1196288
162104,13644.3541831,1671628873.488,1.9589215999999998,5.450587199999999,1.6075119999999998
