id,lsl_ts,unix_ts,x,y,z
189342,14553.133046248407,1671629782.28,0,0,0
189342,14553.133046248407,1671629782.28,0,0,0
189343,14553.139543974205,1671629782.28,-5.884241599999999,1.1813344,3.4916655999999997
189343,14553.139543974205,1671629782.28,-5.884241599999999,1.1813344,3.4916655999999997
189344,14553.1460417,1671629782.28,-4.3888815999999995,-0.598144,2.4523904
189344,14553.1460417,1671629782.28,-4.3888815999999995,-0.598144,2.4523904
189345,14553.1982361,1671629782.436,-3.2972688,-0.15701279999999998,1.4205919999999999
189345,14553.1982361,1671629782.436,-3.2972688,-0.15701279999999998,1.4205919999999999
189346,14553.2504305,1671629782.436,-3.3346527999999998,0.635528,0.8822624
189346,14553.2504305,1671629782.436,-3.3346527999999998,0.635528,0.8822624
189347,14553.3026249,1671629782.436,-3.2748383999999997,0.2915952,0.971984
189347,14553.3026249,1671629782.436,-3.2748383999999997,0.2915952,0.971984
189348,14553.324265466666,1671629782.501,-3.4916655999999997,-1.2561023999999998,0.7102959999999999
189348,14553.324265466666,1671629782.501,-3.4916655999999997,-1.2561023999999998,0.7102959999999999
189349,14553.345906033333,1671629782.501,-3.7608303999999997,-1.6374191999999999,0.45608479999999996
189349,14553.345906033333,1671629782.501,-3.7608303999999997,-1.6374191999999999,0.45608479999999996
189350,14553.3675466,1671629782.501,-4.0075648,-0.9346,0.0149536
189350,14553.3675466,1671629782.501,-4.0075648,-0.9346,0.0149536
189351,14553.371243833333,1671629782.512,-4.2842063999999995,-0.1420592,-0.45608479999999996
189351,14553.371243833333,1671629782.512,-4.2842063999999995,-0.1420592,-0.45608479999999996
189352,14553.374941066668,1671629782.512,-4.0898096,-0.4411312,-0.5158992
189352,14553.374941066668,1671629782.512,-4.0898096,-0.4411312,-0.5158992
189353,14553.3786383,1671629782.512,-4.2094384,-0.2467344,-0.4261776
189353,14553.3786383,1671629782.512,-4.2094384,-0.2467344,-0.4261776
189354,14553.383171233334,1671629782.526,-3.850552,0.5009456,-0.09719839999999999
189354,14553.383171233334,1671629782.526,-3.850552,0.5009456,-0.09719839999999999
189355,14553.387704166667,1671629782.526,-3.9178431999999996,1.0916128,0.22430399999999998
189355,14553.387704166667,1671629782.526,-3.9178431999999996,1.0916128,0.22430399999999998
189356,14553.3922371,1671629782.526,-3.6785856,1.084136,0.672912
189356,14553.3922371,1671629782.526,-3.6785856,1.084136,0.672912
189357,14553.405384700001,1671629782.565,-3.6711088,0.6056208,1.1663808
189357,14553.405384700001,1671629782.565,-3.6711088,0.6056208,1.1663808
189358,14553.4185323,1671629782.565,-3.8580287999999996,0.46356159999999996,1.0691823999999999
189358,14553.4185323,1671629782.565,-3.8580287999999996,0.46356159999999996,1.0691823999999999
189359,14553.4316799,1671629782.565,-4.1271936,1.0018912,0.7252495999999999
189359,14553.4316799,1671629782.565,-4.1271936,1.0018912,0.7252495999999999
189360,14553.448514133333,1671629782.616,-4.0972864,1.3009632,0.44860799999999995
189360,14553.448514133333,1671629782.616,-4.0972864,1.3009632,0.44860799999999995
189361,14553.465348366668,1671629782.616,-4.0075648,0.785064,0.4785152
189361,14553.465348366668,1671629782.616,-4.0075648,0.785064,0.4785152
189362,14553.4821826,1671629782.616,-3.9477504,0.1345824,0.5757135999999999
189362,14553.4821826,1671629782.616,-3.9477504,0.1345824,0.5757135999999999
189363,14553.496254200001,1671629782.658,-3.514096,0.299072,0.1794432
189363,14553.496254200001,1671629782.658,-3.514096,0.299072,0.1794432
189364,14553.5103258,1671629782.658,-3.9776575999999997,0.299072,0.12710559999999999
189364,14553.5103258,1671629782.658,-3.9776575999999997,0.299072,0.12710559999999999
189365,14553.5243974,1671629782.658,-4.2842063999999995,-0.0897216,0.2093504
189365,14553.5243974,1671629782.658,-4.2842063999999995,-0.0897216,0.2093504
189366,14553.544475966666,1671629782.718,-3.9851343999999997,-0.0149536,0.22430399999999998
189366,14553.544475966666,1671629782.718,-3.9851343999999997,-0.0149536,0.22430399999999998
189367,14553.564554533334,1671629782.718,-4.0299952,0.6430047999999999,0.2392576
189367,14553.564554533334,1671629782.718,-4.0299952,0.6430047999999999,0.2392576
189368,14553.5846331,1671629782.718,-4.0599023999999995,0.7177728,0.074768
189368,14553.5846331,1671629782.718,-4.0599023999999995,0.7177728,0.074768
189369,14553.605433833332,1671629782.781,-4.261775999999999,0.6056208,0.0224304
189369,14553.605433833332,1671629782.781,-4.261775999999999,0.6056208,0.0224304
189370,14553.626234566667,1671629782.781,-4.702907199999999,0.7775871999999999,-0.0672912
189370,14553.626234566667,1671629782.781,-4.702907199999999,0.7775871999999999,-0.0672912
189371,14553.6470353,1671629782.781,-4.9047808,1.2934864,-0.1794432
189371,14553.6470353,1671629782.781,-4.9047808,1.2934864,-0.1794432
189372,14553.666688766667,1671629782.84,-5.0468399999999995,1.009368,-0.37384
189372,14553.666688766667,1671629782.84,-5.0468399999999995,1.009368,-0.37384
189373,14553.686342233334,1671629782.84,-5.196376,0.09719839999999999,-0.5009456
189373,14553.686342233334,1671629782.84,-5.196376,0.09719839999999999,-0.5009456
189374,14553.7059957,1671629782.84,-5.158992,-0.31402559999999996,-0.5906672
189374,14553.7059957,1671629782.84,-5.158992,-0.31402559999999996,-0.5906672
189375,14553.7261373,1671629782.9,-4.800105599999999,-0.2841184,-0.6430047999999999
189375,14553.7261373,1671629782.9,-4.800105599999999,-0.2841184,-0.6430047999999999
189376,14553.7462789,1671629782.9,-4.4412192,-0.3663632,-0.672912
189376,14553.7462789,1671629782.9,-4.4412192,-0.3663632,-0.672912
189377,14553.7664205,1671629782.9,-4.187008,-1.3981616,-0.32897919999999997
189377,14553.7664205,1671629782.9,-4.187008,-1.3981616,-0.32897919999999997
189378,14553.781244066668,1671629782.945,-3.7608303999999997,-1.6673263999999999,0.09719839999999999
189378,14553.781244066668,1671629782.945,-3.7608303999999997,-1.6673263999999999,0.09719839999999999
189379,14553.796067633333,1671629782.945,-3.2598848,-1.9963056,0.5532832
189379,14553.796067633333,1671629782.945,-3.2598848,-1.9963056,0.5532832
189380,14553.8108912,1671629782.945,-3.1552095999999996,-2.1308879999999997,1.0018912
189380,14553.8108912,1671629782.945,-3.1552095999999996,-2.1308879999999997,1.0018912
189381,14553.831499566668,1671629783.006,-2.9309056,-2.3327616,1.6523728
189381,14553.831499566668,1671629783.006,-2.9309056,-2.3327616,1.6523728
189382,14553.852107933333,1671629783.006,-2.7589392,-2.8038,1.9364911999999999
189382,14553.852107933333,1671629783.006,-2.7589392,-2.8038,1.9364911999999999
189383,14553.8727163,1671629783.006,-2.691648,-2.4897744,1.9888287999999998
189383,14553.8727163,1671629783.006,-2.691648,-2.4897744,1.9888287999999998
189384,14553.8963757,1671629783.077,-2.691648,-2.7215552,2.1308879999999997
