id,lsl_ts,unix_ts,status
104,10868.8650684,1671626097.998,1
104,10868.8650684,1671626097.998,1
105,11314.0899284,1671626543.224,0
105,11314.0899284,1671626543.224,0
107,11322.3437109,1671626551.478,1
107,11322.3437109,1671626551.478,1
