id,lsl_ts,unix_ts,battery_level,temperature_c,fuel_gauge_voltage
0,89553.8024961,1671367873.5,75,0,3245.0000000000005
0,89553.8024961,1671367873.5,75,0,3245.0000000000005
1,89564.147387,1671367883.845,75,0,3236.2000000000003
1,89564.147387,1671367883.845,75,0,3236.2000000000003
2,89574.4885018,1671367894.186,75,0,3238.4
2,89574.4885018,1671367894.186,75,0,3238.4
3,89584.8188412,1671367904.516,70,0,3227.4
3,89584.8188412,1671367904.516,70,0,3227.4
4,89595.1663913,1671367914.864,75,0,3238.4
4,89595.1663913,1671367914.864,75,0,3238.4
5,89605.4905212,1671367925.188,75,0,3240.6000000000004
5,89605.4905212,1671367925.188,75,0,3240.6000000000004
6,89615.8119553,1671367935.51,75,0,3242.8
6,89615.8119553,1671367935.51,75,0,3242.8
7,89626.1483822,1671367945.846,70,0,3229.6000000000004
7,89626.1483822,1671367945.846,70,0,3229.6000000000004
8,89636.4682382,1671367956.166,75,0,3240.6000000000004
8,89636.4682382,1671367956.166,75,0,3240.6000000000004
9,89646.7873954,1671367966.485,75,0,3236.2000000000003
9,89646.7873954,1671367966.485,75,0,3236.2000000000003
10,89657.1046891,1671367976.802,65,0,3220.8
10,89657.1046891,1671367976.802,65,0,3220.8
11,89667.4417323,1671367987.139,70,0,3227.4
11,89667.4417323,1671367987.139,70,0,3227.4
12,89677.7475663,1671367997.444,70,0,3227.4
12,89677.7475663,1671367997.444,70,0,3227.4
13,89688.0732877,1671368007.77,70,0,3229.6000000000004
13,89688.0732877,1671368007.77,70,0,3229.6000000000004
14,89698.3788492,1671368018.076,75,0,3236.2000000000003
14,89698.3788492,1671368018.076,75,0,3236.2000000000003
15,89708.6932569,1671368028.39,65,0,3218.6000000000004
15,89708.6932569,1671368028.39,65,0,3218.6000000000004
16,89718.9981668,1671368038.695,75,0,3236.2000000000003
16,89718.9981668,1671368038.695,75,0,3236.2000000000003
17,89729.3250313,1671368049.022,75,0,3236.2000000000003
17,89729.3250313,1671368049.022,75,0,3236.2000000000003
