id,lsl_ts,unix_ts,x,y,z
0,8480.847200648408,1671623709.994,0,0,0
0,8480.847200648408,1671623709.994,0,0,0
1,8480.853698374205,1671623709.994,-4.9645952,-1.7271408,3.289792
1,8480.853698374205,1671623709.994,-4.9645952,-1.7271408,3.289792
2,8480.8601961,1671623709.994,-4.4636496,-2.5720191999999997,2.766416
2,8480.8601961,1671623709.994,-4.4636496,-2.5720191999999997,2.766416
3,8480.902566366667,1671623710.121,-3.4916655999999997,-1.0018912,2.317808
3,8480.902566366667,1671623710.121,-3.4916655999999997,-1.0018912,2.317808
4,8480.944936633334,1671623710.121,-3.2150239999999997,-0.2093504,1.8542463999999999
4,8480.944936633334,1671623710.121,-3.2150239999999997,-0.2093504,1.8542463999999999
5,8480.9873069,1671623710.121,-3.7010159999999996,-0.8673088,1.046752
5,8480.9873069,1671623710.121,-3.7010159999999996,-0.8673088,1.046752
6,8480.994908833334,1671623710.144,-4.0075648,-1.68228,0.7402032
6,8480.994908833334,1671623710.144,-4.0075648,-1.68228,0.7402032
7,8481.002510766666,1671623710.144,-3.8804591999999998,-2.0037824,0.31402559999999996
7,8481.002510766666,1671623710.144,-3.8804591999999998,-2.0037824,0.31402559999999996
8,8481.0101127,1671623710.144,-3.5215728,-1.5103136,-0.0149536
8,8481.0101127,1671623710.144,-3.5215728,-1.5103136,-0.0149536
9,8481.039079133334,1671623710.231,-3.36456,-1.0392751999999998,0.0149536
9,8481.039079133334,1671623710.231,-3.36456,-1.0392751999999998,0.0149536
10,8481.068045566666,1671623710.231,-3.17764,-0.8673088,0.15701279999999998
10,8481.068045566666,1671623710.231,-3.17764,-0.8673088,0.15701279999999998
11,8481.097012,1671623710.231,-3.9028896,-0.9869376,0.5009456
11,8481.097012,1671623710.231,-3.9028896,-0.9869376,0.5009456
12,8481.0993573,1671623710.238,-3.9851343999999997,-1.0691823999999999,0.7925407999999999
12,8481.0993573,1671623710.238,-3.9851343999999997,-1.0691823999999999,0.7925407999999999
13,8481.1017026,1671623710.238,-4.149624,-1.2187184,1.046752
13,8481.1017026,1671623710.238,-4.149624,-1.2187184,1.046752
14,8481.1040479,1671623710.238,-4.149624,-1.4280688,1.0916128
