id,lsl_ts,unix_ts,ambient,ir,red
20334,90400.52069831666,1671368720.232,536,118796,75091
20334,90400.52069831666,1671368720.232,536,118796,75091
20335,90400.52349783333,1671368720.232,516,135477,77381
20335,90400.52349783333,1671368720.232,516,135477,77381
20336,90400.52629735,1671368720.232,512,135468,77390
20336,90400.52629735,1671368720.232,512,135468,77390
20337,90400.52909686667,1671368720.232,512,135479,77401
20337,90400.52909686667,1671368720.232,512,135479,77401
20338,90400.53189638333,1671368720.232,512,135481,77392
20338,90400.53189638333,1671368720.232,512,135481,77392
20339,90400.5346959,1671368720.232,511,135493,77398
20339,90400.5346959,1671368720.232,511,135493,77398
20340,90400.544052,1671368720.288,512,135578,77374
20340,90400.544052,1671368720.288,512,135578,77374
20341,90400.55340810001,1671368720.288,512,135535,77390
20341,90400.55340810001,1671368720.288,512,135535,77390
20342,90400.5627642,1671368720.288,512,135510,77395
20342,90400.5627642,1671368720.288,512,135510,77395
20343,90400.5721203,1671368720.288,512,135553,77408
20343,90400.5721203,1671368720.288,512,135553,77408
20344,90400.58147640001,1671368720.288,511,135611,77397
20344,90400.58147640001,1671368720.288,511,135611,77397
20345,90400.5908325,1671368720.288,511,135610,77418
20345,90400.5908325,1671368720.288,511,135610,77418
20346,90400.60728905,1671368720.387,512,135648,77374
20346,90400.60728905,1671368720.387,512,135648,77374
20347,90400.62374560001,1671368720.387,511,135589,77409
20347,90400.62374560001,1671368720.387,511,135589,77409
20348,90400.64020215001,1671368720.387,510,135658,77411
20348,90400.64020215001,1671368720.387,510,135658,77411
20349,90400.6566587,1671368720.387,511,135659,77422
20349,90400.6566587,1671368720.387,511,135659,77422
20350,90400.67311525,1671368720.387,514,135711,77410
20350,90400.67311525,1671368720.387,514,135711,77410
20351,90400.6895718,1671368720.387,512,135654,77396
20351,90400.6895718,1671368720.387,512,135654,77396
20352,90400.7054104,1671368720.482,511,135526,77337
20352,90400.7054104,1671368720.482,511,135526,77337
20353,90400.721249,1671368720.482,510,135452,77310
20353,90400.721249,1671368720.482,510,135452,77310
20354,90400.73708759999,1671368720.482,510,135239,77243
20354,90400.73708759999,1671368720.482,510,135239,77243
20355,90400.7529262,1671368720.482,511,135115,77203
20355,90400.7529262,1671368720.482,511,135115,77203
20356,90400.7687648,1671368720.482,510,135024,77178
20356,90400.7687648,1671368720.482,510,135024,77178
20357,90400.7846034,1671368720.482,510,135008,77170
20357,90400.7846034,1671368720.482,510,135008,77170
20358,90400.79881946667,1671368720.567,512,134929,77154
20358,90400.79881946667,1671368720.567,512,134929,77154
20359,90400.81303553333,1671368720.567,511,134951,77167
20359,90400.81303553333,1671368720.567,511,134951,77167
20360,90400.8272516,1671368720.567,512,134965,77156
20360,90400.8272516,1671368720.567,512,134965,77156
20361,90400.84146766667,1671368720.567,510,134918,77135
20361,90400.84146766667,1671368720.567,510,134918,77135
20362,90400.85568373333,1671368720.567,510,134956,77149
20362,90400.85568373333,1671368720.567,510,134956,77149
20363,90400.8698998,1671368720.567,511,134904,77134
20363,90400.8698998,1671368720.567,511,134904,77134
20364,90400.88708873333,1671368720.67,510,134878,77136
20364,90400.88708873333,1671368720.67,510,134878,77136
20365,90400.90427766668,1671368720.67,511,134940,77110
20365,90400.90427766668,1671368720.67,511,134940,77110
20366,90400.9214666,1671368720.67,512,134878,77118
20366,90400.9214666,1671368720.67,512,134878,77118
20367,90400.93865553333,1671368720.67,512,134956,77140
20367,90400.93865553333,1671368720.67,512,134956,77140
20368,90400.95584446668,1671368720.67,511,134927,77128
20368,90400.95584446668,1671368720.67,511,134927,77128
20369,90400.9730334,1671368720.67,511,134969,77128
20369,90400.9730334,1671368720.67,511,134969,77128
20370,90400.98961345,1671368720.77,514,134936,77121
20370,90400.98961345,1671368720.77,514,134936,77121
20371,90401.0061935,1671368720.77,512,134967,77124
20371,90401.0061935,1671368720.77,512,134967,77124
20372,90401.02277355001,1671368720.77,511,134870,77087
20372,90401.02277355001,1671368720.77,511,134870,77087
20373,90401.0393536,1671368720.77,511,134977,77106
20373,90401.0393536,1671368720.77,511,134977,77106
20374,90401.05593365,1671368720.77,512,134931,77102
20374,90401.05593365,1671368720.77,512,134931,77102
20375,90401.0725137,1671368720.77,512,134929,77081
20375,90401.0725137,1671368720.77,512,134929,77081
20376,90401.0863563,1671368720.853,512,134929,77084
20376,90401.0863563,1671368720.853,512,134929,77084
20377,90401.10019889999,1671368720.853,512,134933,77091
20377,90401.10019889999,1671368720.853,512,134933,77091
20378,90401.1140415,1671368720.853,514,134863,77084
20378,90401.1140415,1671368720.853,514,134863,77084
20379,90401.1278841,1671368720.853,511,134928,77084
20379,90401.1278841,1671368720.853,511,134928,77084
