id,lsl_ts,unix_ts,x,y,z
16809,90400.43358084842,1671368720.144,0,0,0
16809,90400.43358084842,1671368720.144,0,0,0
16810,90400.4400785742,1671368720.144,-8.673088,1.8916304,4.3589744
16810,90400.4400785742,1671368720.144,-8.673088,1.8916304,4.3589744
16811,90400.4465763,1671368720.144,-5.42068,-0.23178079999999998,2.1084576
16811,90400.4465763,1671368720.144,-5.42068,-0.23178079999999998,2.1084576
16812,90400.48491576668,1671368720.259,-3.1851168,-0.485992,0.7701104
16812,90400.48491576668,1671368720.259,-3.1851168,-0.485992,0.7701104
16813,90400.52325523333,1671368720.259,-3.2374544,0.18692,0.8074944
16813,90400.52325523333,1671368720.259,-3.2374544,0.18692,0.8074944
16814,90400.5615947,1671368720.259,-3.0206272,0.299072,1.2037647999999999
16814,90400.5615947,1671368720.259,-3.0206272,0.299072,1.2037647999999999
16815,90400.56453706668,1671368720.268,-2.7589392,-0.32150239999999997,1.6748032
16815,90400.56453706668,1671368720.268,-2.7589392,-0.32150239999999997,1.6748032
16816,90400.56747943333,1671368720.268,-2.4748208,-1.5177904,1.8542463999999999
16816,90400.56747943333,1671368720.268,-2.4748208,-1.5177904,1.8542463999999999
16817,90400.5704218,1671368720.268,-2.7738928,-1.9514448,2.2355632
16817,90400.5704218,1671368720.268,-2.7738928,-1.9514448,2.2355632
16818,90400.58206806667,1671368720.303,-2.7215552,-1.8318159999999999,2.6019264
16818,90400.58206806667,1671368720.303,-2.7215552,-1.8318159999999999,2.6019264
16819,90400.59371433334,1671368720.303,-2.915952,-2.2505167999999998,2.8112768
16819,90400.59371433334,1671368720.303,-2.915952,-2.2505167999999998,2.8112768
16820,90400.6053606,1671368720.303,-3.1103487999999997,-2.1832256,3.2075472
16820,90400.6053606,1671368720.303,-3.1103487999999997,-2.1832256,3.2075472
16821,90400.6255066,1671368720.363,-3.2225007999999997,-2.1159344,3.8131679999999997
16821,90400.6255066,1671368720.363,-3.2225007999999997,-2.1159344,3.8131679999999997
16822,90400.64565260001,1671368720.363,-3.140256,-2.2654704,4.1720543999999995
