id,lsl_ts,unix_ts,ambient,ir,red
19380,8854.535907450001,1671624083.683,556,130651,91504
19380,8854.535907450001,1671624083.683,556,130651,91504
19381,8854.5385938,1671624083.683,536,154803,96999
19381,8854.5385938,1671624083.683,536,154803,96999
19382,8854.54128015,1671624083.683,536,154839,97032
19382,8854.54128015,1671624083.683,536,154839,97032
19383,8854.543966500001,1671624083.683,532,154719,97071
19383,8854.543966500001,1671624083.683,532,154719,97071
19384,8854.54665285,1671624083.683,534,154767,97078
19384,8854.54665285,1671624083.683,534,154767,97078
19385,8854.5493392,1671624083.683,533,154650,97078
19385,8854.5493392,1671624083.683,533,154650,97078
19386,8854.555888800001,1671624083.722,533,154559,97088
19386,8854.555888800001,1671624083.722,533,154559,97088
19387,8854.5624384,1671624083.722,535,154592,97105
19387,8854.5624384,1671624083.722,535,154592,97105
19388,8854.568987999999,1671624083.722,535,154614,97113
19388,8854.568987999999,1671624083.722,535,154614,97113
19389,8854.5755376,1671624083.722,534,154660,97133
19389,8854.5755376,1671624083.722,534,154660,97133
19390,8854.5820872,1671624083.722,534,154618,97140
19390,8854.5820872,1671624083.722,534,154618,97140
19391,8854.5886368,1671624083.722,532,154574,97165
19391,8854.5886368,1671624083.722,532,154574,97165
19392,8854.596861983333,1671624083.772,532,154552,97162
19392,8854.596861983333,1671624083.772,532,154552,97162
19393,8854.605087166667,1671624083.772,532,154588,97181
19393,8854.605087166667,1671624083.772,532,154588,97181
19394,8854.61331235,1671624083.772,534,154526,97187
19394,8854.61331235,1671624083.772,534,154526,97187
19395,8854.621537533332,1671624083.772,533,154586,97201
19395,8854.621537533332,1671624083.772,533,154586,97201
19396,8854.629762716666,1671624083.772,534,154521,97204
19396,8854.629762716666,1671624083.772,534,154521,97204
19397,8854.6379879,1671624083.772,533,154613,97213
19397,8854.6379879,1671624083.772,533,154613,97213
19398,8854.652077966666,1671624083.856,533,154516,97214
19398,8854.652077966666,1671624083.856,533,154516,97214
19399,8854.666168033333,1671624083.856,532,154608,97210
19399,8854.666168033333,1671624083.856,532,154608,97210
19400,8854.680258100001,1671624083.856,531,154550,97252
19400,8854.680258100001,1671624083.856,531,154550,97252
19401,8854.694348166668,1671624083.856,531,154516,97236
19401,8854.694348166668,1671624083.856,531,154516,97236
19402,8854.708438233334,1671624083.856,530,154561,97219
19402,8854.708438233334,1671624083.856,530,154561,97219
19403,8854.7225283,1671624083.856,533,154483,97247
19403,8854.7225283,1671624083.856,533,154483,97247
19404,8854.737819116668,1671624083.948,533,154520,97248
19404,8854.737819116668,1671624083.948,533,154520,97248
19405,8854.753109933334,1671624083.948,534,154506,97261
19405,8854.753109933334,1671624083.948,534,154506,97261
19406,8854.76840075,1671624083.948,533,154454,97236
19406,8854.76840075,1671624083.948,533,154454,97236
19407,8854.783691566667,1671624083.948,532,154494,97255
19407,8854.783691566667,1671624083.948,532,154494,97255
19408,8854.798982383334,1671624083.948,534,154524,97272
19408,8854.798982383334,1671624083.948,534,154524,97272
19409,8854.8142732,1671624083.948,532,154520,97294
19409,8854.8142732,1671624083.948,532,154520,97294
19410,8854.831493483332,1671624084.051,534,154520,97282
19410,8854.831493483332,1671624084.051,534,154520,97282
19411,8854.848713766667,1671624084.051,533,154552,97304
19411,8854.848713766667,1671624084.051,533,154552,97304
19412,8854.86593405,1671624084.051,534,154556,97301
19412,8854.86593405,1671624084.051,534,154556,97301
19413,8854.883154333333,1671624084.051,534,154645,97340
19413,8854.883154333333,1671624084.051,534,154645,97340
19414,8854.900374616667,1671624084.051,533,154609,97371
19414,8854.900374616667,1671624084.051,533,154609,97371
19415,8854.9175949,1671624084.051,533,154626,97372
19415,8854.9175949,1671624084.051,533,154626,97372
19416,8854.93230145,1671624084.139,533,154686,97406
19416,8854.93230145,1671624084.139,533,154686,97406
19417,8854.947008,1671624084.139,532,154619,97418
19417,8854.947008,1671624084.139,532,154619,97418
19418,8854.96171455,1671624084.139,533,154671,97436
19418,8854.96171455,1671624084.139,533,154671,97436
19419,8854.9764211,1671624084.139,532,154737,97457
19419,8854.9764211,1671624084.139,532,154737,97457
19420,8854.991127649999,1671624084.139,534,154756,97452
19420,8854.991127649999,1671624084.139,534,154756,97452
19421,8855.0058342,1671624084.139,532,154734,97451
19421,8855.0058342,1671624084.139,532,154734,97451
19422,8855.021966366667,1671624084.236,534,154760,97471
19422,8855.021966366667,1671624084.236,534,154760,97471
19423,8855.038098533332,1671624084.236,532,154796,97444
19423,8855.038098533332,1671624084.236,532,154796,97444
19424,8855.0542307,1671624084.236,532,154786,97493
19424,8855.0542307,1671624084.236,532,154786,97493
19425,8855.070362866667,1671624084.236,531,154851,97474
19425,8855.070362866667,1671624084.236,531,154851,97474
19426,8855.086495033333,1671624084.236,534,154858,97479
19426,8855.086495033333,1671624084.236,534,154858,97479
19427,8855.1026272,1671624084.236,532,154846,97515
19427,8855.1026272,1671624084.236,532,154846,97515
19428,8855.118916416666,1671624084.334,534,154821,97495
19428,8855.118916416666,1671624084.334,534,154821,97495
19429,8855.135205633333,1671624084.334,535,154805,97510
19429,8855.135205633333,1671624084.334,535,154805,97510
19430,8855.15149485,1671624084.334,534,154813,97496
19430,8855.15149485,1671624084.334,534,154813,97496
19431,8855.167784066667,1671624084.334,534,154727,97466
19431,8855.167784066667,1671624084.334,534,154727,97466
19432,8855.184073283333,1671624084.334,533,154740,97470
19432,8855.184073283333,1671624084.334,533,154740,97470
19433,8855.2003625,1671624084.334,532,154654,97475
19433,8855.2003625,1671624084.334,532,154654,97475
19434,8855.21408685,1671624084.416,534,154729,97474
19434,8855.21408685,1671624084.416,534,154729,97474
19435,8855.2278112,1671624084.416,532,154572,97448
19435,8855.2278112,1671624084.416,532,154572,97448
19436,8855.24153555,1671624084.416,534,154651,97441
19436,8855.24153555,1671624084.416,534,154651,97441
19437,8855.2552599,1671624084.416,534,154643,97413
19437,8855.2552599,1671624084.416,534,154643,97413
19438,8855.26898425,1671624084.416,533,154576,97433
19438,8855.26898425,1671624084.416,533,154576,97433
19439,8855.2827086,1671624084.416,533,154524,97417
19439,8855.2827086,1671624084.416,533,154524,97417
19440,8855.299272866667,1671624084.516,531,154510,97431
19440,8855.299272866667,1671624084.516,531,154510,97431
19441,8855.315837133334,1671624084.516,534,154463,97410
19441,8855.315837133334,1671624084.516,534,154463,97410
19442,8855.332401399999,1671624084.516,533,154516,97419
19442,8855.332401399999,1671624084.516,533,154516,97419
19443,8855.348965666666,1671624084.516,533,154592,97413
19443,8855.348965666666,1671624084.516,533,154592,97413
19444,8855.365529933333,1671624084.516,535,154505,97407
19444,8855.365529933333,1671624084.516,535,154505,97407
19445,8855.3820942,1671624084.516,534,154506,97400
19445,8855.3820942,1671624084.516,534,154506,97400
19446,8855.396754516667,1671624084.604,535,154549,97428
19446,8855.396754516667,1671624084.604,535,154549,97428
19447,8855.411414833334,1671624084.604,533,154495,97416
19447,8855.411414833334,1671624084.604,533,154495,97416
19448,8855.42607515,1671624084.604,532,154503,97431
19448,8855.42607515,1671624084.604,532,154503,97431
19449,8855.440735466667,1671624084.604,533,154530,97398
19449,8855.440735466667,1671624084.604,533,154530,97398
19450,8855.455395783334,1671624084.604,534,154527,97420
19450,8855.455395783334,1671624084.604,534,154527,97420
19451,8855.4700561,1671624084.604,534,154464,97363
19451,8855.4700561,1671624084.604,534,154464,97363
19452,8855.4868201,1671624084.704,534,154526,97411
19452,8855.4868201,1671624084.704,534,154526,97411
19453,8855.5035841,1671624084.704,535,154543,97424
19453,8855.5035841,1671624084.704,535,154543,97424
19454,8855.5203481,1671624084.704,533,154477,97415
19454,8855.5203481,1671624084.704,533,154477,97415
19455,8855.5371121,1671624084.704,532,154447,97390
19455,8855.5371121,1671624084.704,532,154447,97390
19456,8855.5538761,1671624084.704,533,154536,97403
19456,8855.5538761,1671624084.704,533,154536,97403
19457,8855.5706401,1671624084.704,532,154437,97388
19457,8855.5706401,1671624084.704,532,154437,97388
19458,8855.587915833334,1671624084.808,532,154566,97431
19458,8855.587915833334,1671624084.808,532,154566,97431
19459,8855.605191566667,1671624084.808,535,154478,97396
19459,8855.605191566667,1671624084.808,535,154478,97396
19460,8855.6224673,1671624084.808,534,154499,97413
19460,8855.6224673,1671624084.808,534,154499,97413
19461,8855.639743033335,1671624084.808,534,154549,97425
19461,8855.639743033335,1671624084.808,534,154549,97425
19462,8855.657018766668,1671624084.808,534,154557,97437
19462,8855.657018766668,1671624084.808,534,154557,97437
19463,8855.6742945,1671624084.808,535,154567,97412
19463,8855.6742945,1671624084.808,535,154567,97412
19464,8855.6892334,1671624084.897,533,154536,97417
19464,8855.6892334,1671624084.897,533,154536,97417
19465,8855.7041723,1671624084.897,532,154597,97444
19465,8855.7041723,1671624084.897,532,154597,97444
19466,8855.7191112,1671624084.897,533,154621,97445
19466,8855.7191112,1671624084.897,533,154621,97445
19467,8855.7340501,1671624084.897,532,154649,97431
19467,8855.7340501,1671624084.897,532,154649,97431
19468,8855.748989,1671624084.897,534,154622,97440
19468,8855.748989,1671624084.897,534,154622,97440
19469,8855.7639279,1671624084.897,533,154645,97448
19469,8855.7639279,1671624084.897,533,154645,97448
19470,8855.782155633333,1671624085.007,533,154696,97423
19470,8855.782155633333,1671624085.007,533,154696,97423
19471,8855.800383366666,1671624085.007,532,154650,97438
19471,8855.800383366666,1671624085.007,532,154650,97438
19472,8855.8186111,1671624085.007,532,154684,97431
19472,8855.8186111,1671624085.007,532,154684,97431
19473,8855.836838833333,1671624085.007,532,154688,97418
19473,8855.836838833333,1671624085.007,532,154688,97418
19474,8855.855066566666,1671624085.007,533,154641,97436
19474,8855.855066566666,1671624085.007,533,154641,97436
19475,8855.8732943,1671624085.007,532,154639,97424
19475,8855.8732943,1671624085.007,532,154639,97424
19476,8855.8844866,1671624085.074,534,154632,97395
19476,8855.8844866,1671624085.074,534,154632,97395
19477,8855.8956789,1671624085.074,534,154533,97406
19477,8855.8956789,1671624085.074,534,154533,97406
19478,8855.9068712,1671624085.074,532,154540,97367
19478,8855.9068712,1671624085.074,532,154540,97367
19479,8855.9180635,1671624085.074,532,154612,97389
19479,8855.9180635,1671624085.074,532,154612,97389
19480,8855.9292558,1671624085.074,532,154473,97368
19480,8855.9292558,1671624085.074,532,154473,97368
19481,8855.9404481,1671624085.074,532,154454,97361
19481,8855.9404481,1671624085.074,532,154454,97361
19482,8855.956500416667,1671624085.17,533,154382,97312
19482,8855.956500416667,1671624085.17,533,154382,97312
19483,8855.972552733334,1671624085.17,534,154415,97343
19483,8855.972552733334,1671624085.17,534,154415,97343
19484,8855.988605049999,1671624085.17,535,154451,97338
19484,8855.988605049999,1671624085.17,535,154451,97338
19485,8856.004657366666,1671624085.17,533,154413,97337
19485,8856.004657366666,1671624085.17,533,154413,97337
19486,8856.020709683333,1671624085.17,534,154380,97304
19486,8856.020709683333,1671624085.17,534,154380,97304
19487,8856.036762,1671624085.17,533,154361,97300
19487,8856.036762,1671624085.17,533,154361,97300
19488,8856.051717266666,1671624085.26,531,154443,97322
19488,8856.051717266666,1671624085.26,531,154443,97322
19489,8856.066672533334,1671624085.26,530,154430,97308
19489,8856.066672533334,1671624085.26,530,154430,97308
19490,8856.0816278,1671624085.26,533,154386,97318
19490,8856.0816278,1671624085.26,533,154386,97318
19491,8856.096583066666,1671624085.26,533,154390,97292
19491,8856.096583066666,1671624085.26,533,154390,97292
19492,8856.111538333334,1671624085.26,535,154374,97275
19492,8856.111538333334,1671624085.26,535,154374,97275
19493,8856.1264936,1671624085.26,534,154416,97311
19493,8856.1264936,1671624085.26,534,154416,97311
19494,8856.146347400001,1671624085.379,535,154369,97286
19494,8856.146347400001,1671624085.379,535,154369,97286
19495,8856.1662012,1671624085.379,533,154441,97290
19495,8856.1662012,1671624085.379,533,154441,97290
19496,8856.186055,1671624085.379,534,154413,97289
19496,8856.186055,1671624085.379,534,154413,97289
19497,8856.2059088,1671624085.379,532,154338,97288
19497,8856.2059088,1671624085.379,532,154338,97288
19498,8856.2257626,1671624085.379,534,154362,97286
19498,8856.2257626,1671624085.379,534,154362,97286
19499,8856.2456164,1671624085.379,534,154333,97283
19499,8856.2456164,1671624085.379,534,154333,97283
19500,8856.255669916667,1671624085.439,533,154404,97259
19500,8856.255669916667,1671624085.439,533,154404,97259
