id,lsl_ts,unix_ts,x,y,z
16023,8854.404429748407,1671624083.551,0.1496583104,0.10528572,1.0273444864
16023,8854.404429748407,1671624083.551,0.1496583104,0.10528572,1.0273444864
16024,8854.410927474204,1671624083.551,-0.2067262224,0.0022583024,0.9996345056
16024,8854.410927474204,1671624083.551,-0.2067262224,0.0022583024,0.9996345056
16025,8854.4174252,1671624083.551,-0.2055055184,0.0050659216,1.0021369488
16025,8854.4174252,1671624083.551,-0.2055055184,0.0050659216,1.0021369488
16026,8854.462585066667,1671624083.686,-0.2020875472,0.0002441408,1.00097728
16026,8854.462585066667,1671624083.686,-0.2020875472,0.0002441408,1.00097728
16027,8854.507744933333,1671624083.686,-0.1979981888,0.0043334992,0.9990851888
16027,8854.507744933333,1671624083.686,-0.1979981888,0.0043334992,0.9990851888
16028,8854.5529048,1671624083.686,-0.20007338560000001,0.014038096,0.9989020832000001
16028,8854.5529048,1671624083.686,-0.20007338560000001,0.014038096,0.9989020832000001
16029,8854.566283,1671624083.727,-0.2022096176,0.0014648448000000001,0.9979865552
16029,8854.566283,1671624083.727,-0.2022096176,0.0014648448000000001,0.9979865552
16030,8854.579661200001,1671624083.727,-0.20526137760000002,0.0023193376,0.9992682944
16030,8854.579661200001,1671624083.727,-0.20526137760000002,0.0023193376,0.9992682944
16031,8854.5930394,1671624083.727,-0.20477309600000002,0.0056762736,0.9993903648
16031,8854.5930394,1671624083.727,-0.20477309600000002,0.0056762736,0.9993903648
16032,8854.595807266667,1671624083.735,-0.2092897008,0.0001220704,1.00097728
16032,8854.595807266667,1671624083.735,-0.2092897008,0.0001220704,1.00097728
16033,8854.598575133334,1671624083.735,-0.20617690560000002,0.0028686544,0.9970710272000001
16033,8854.598575133334,1671624083.735,-0.20617690560000002,0.0028686544,0.9970710272000001
16034,8854.601343,1671624083.735,-0.2101441936,-0.0010986336,1.0051276736
16034,8854.601343,1671624083.735,-0.2101441936,-0.0010986336,1.0051276736
16035,8854.605188,1671624083.746,-0.2138673408,-0.0007934576,1.0018317728000001
16035,8854.605188,1671624083.746,-0.2138673408,-0.0007934576,1.0018317728000001
16036,8854.609033,1671624083.746,-0.206604152,0.0039062528,0.9962775696
16036,8854.609033,1671624083.746,-0.206604152,0.0039062528,0.9962775696
16037,8854.612878,1671624083.746,-0.207824856,-0.0034179712,0.9990851888
16037,8854.612878,1671624083.746,-0.207824856,-0.0034179712,0.9990851888
16038,8854.632273,1671624083.805,-0.2108155808,0.0016479504,0.9940803024
16038,8854.632273,1671624083.805,-0.2108155808,0.0016479504,0.9940803024
16039,8854.651668,1671624083.805,-0.211486968,-0.0004882816,0.9992682944
16039,8854.651668,1671624083.805,-0.211486968,-0.0004882816,0.9992682944
16040,8854.671063,1671624083.805,-0.2185670512,0.00152588,0.9962775696
16040,8854.671063,1671624083.805,-0.2185670512,0.00152588,0.9962775696
16041,8854.6889249,1671624083.858,-0.21368423520000002,0.0046386752,0.9953620416
16041,8854.6889249,1671624083.858,-0.21368423520000002,0.0046386752,0.9953620416
16042,8854.7067868,1671624083.858,-0.2060548352,-0.0017089856,0.99639964
16042,8854.7067868,1671624083.858,-0.2060548352,-0.0017089856,0.99639964
16043,8854.7246487,1671624083.858,-0.2095948768,-0.0050048864,0.9962165344
16043,8854.7246487,1671624083.858,-0.2095948768,-0.0050048864,0.9962165344
16044,8854.746314233333,1671624083.923,-0.2103272992,-0.0055542032,1.0025641952
16044,8854.746314233333,1671624083.923,-0.2103272992,-0.0055542032,1.0025641952
16045,8854.767979766666,1671624083.923,-0.2086793488,-0.0044555696,0.9981086256
16045,8854.767979766666,1671624083.923,-0.2086793488,-0.0044555696,0.9981086256
16046,8854.7896453,1671624083.923,-0.20709243360000001,-0.0074462944,0.9946906544
16046,8854.7896453,1671624083.923,-0.20709243360000001,-0.0074462944,0.9946906544
16047,8854.806972299999,1671624083.975,-0.2089234896,-0.0050048864,0.9947516896
16047,8854.806972299999,1671624083.975,-0.2089234896,-0.0050048864,0.9947516896
16048,8854.8242993,1671624083.975,-0.2077638208,-0.0025634784000000002,0.99792552
16048,8854.8242993,1671624083.975,-0.2077638208,-0.0025634784000000002,0.99792552
16049,8854.8416263,1671624083.975,-0.21319595360000002,0.0018920912000000001,1.0056769904
16049,8854.8416263,1671624083.975,-0.21319595360000002,0.0018920912000000001,1.0056769904
16050,8854.858635066666,1671624084.026,-0.2070313984,0.004272464,0.9907844016
